episode,win_rate,avg_loss,avg_reward,avg_q,avg_episode_length
100,0.03,0.017781754102594007,-1.5931999999999993,0.21962686824929936,120.96
200,0.02,0.025956058285024355,-1.7012999999999996,0.2235099777242808,121.97
300,0.02,0.03302154771060275,-1.6958500000000007,0.23538630738228214,121.94
400,0.21,0.04686052008808497,0.6190500000000001,0.2496434246910084,112.43
500,0.8,0.13619416962477993,7.774299999999996,0.27249607852166213,79.89
600,0.66,0.28923056808831143,6.0813000000000015,0.3781014786831753,93.06
700,0.88,0.3816688056471608,8.739199999999997,0.545497635217652,75.27
800,0.89,0.4978338608280246,8.861399999999998,0.6880943142937026,74.98
900,0.86,0.5975079950153908,8.5052,0.8200953799858369,82.24
1000,0.86,0.6379830320181247,8.49355,0.9629953602769854,79.29
1100,0.85,0.6302937742154775,8.380649999999996,1.1947257131347675,78.66
1200,0.84,0.5986490829534552,8.26405,1.2369985989888181,80.31
1300,0.61,0.5760380789459295,5.469550000000002,1.1775183373976141,95.42
1400,0.64,0.49957583934833993,5.841799999999999,1.4085884034378373,96.05
1500,0.66,0.46045380661269447,6.087700000000001,1.5847144383719145,94.9
1600,0.55,0.4114594810263399,4.7467999999999995,1.6012224784185976,96.99
1700,0.69,0.36483601631369383,6.4483999999999995,1.8353639784547036,91.51
1800,0.56,0.35728219609023204,4.8633999999999995,1.5529914105705638,96.24
1900,0.69,0.3490081510261296,6.435950000000003,1.824413757726485,88.28
2000,0.65,0.3374980783879847,5.967700000000003,1.9701218933095765,92.73
2100,0.72,0.35575912291593764,6.806649999999999,2.176038320038594,93.02
2200,0.72,0.35704873080648475,6.810150000000001,2.422150982804229,89.72
2300,0.76,0.3609318638366084,7.292299999999999,2.6657331369233326,88.56
2400,0.86,0.36045006475531854,8.502350000000002,3.1252141141157614,81.75
2500,0.9,0.36430900378292397,8.98345,3.210921735355147,78.24
2600,0.9,0.3646372891248795,8.986849999999997,3.3287704365540485,74.68
2700,0.89,0.35754484658549096,8.857499999999998,3.4342000181765377,74.74
2800,0.88,0.34858042208213136,8.733,3.6814537569591903,83.3
2900,0.88,0.35702553354431293,8.745449999999995,3.696203196835209,77.22
3000,0.89,0.3351420535071107,8.862649999999997,3.7488700744493078,76.64
3100,0.88,0.33707887728664937,8.741250000000003,3.9003152489321637,78.94
3200,0.88,0.31919593862232154,8.744549999999998,4.190098436213904,72.74
3300,0.89,0.3210521552052458,8.866550000000002,4.322089679726287,76.87
3400,0.86,0.31121048001789187,8.495849999999995,4.478691694698558,75.34
3500,0.93,0.2989591846188611,9.338499999999998,4.7976887257404295,74.27
3600,0.92,0.312617385559016,9.223049999999999,4.922130456017392,71.36
3700,0.94,0.2814788921220685,9.459400000000002,4.9452522940489105,69.76
3800,0.87,0.27841608279899344,8.620599999999996,5.21439290033714,76.03
3900,0.89,0.2753435213912034,8.863949999999997,5.205519727229396,71.0
4000,0.92,0.254984713247331,9.228649999999998,5.476881801031107,72.49
4100,0.92,0.2524473741263566,9.2286,5.521939338843722,76.39
4200,0.85,0.25570343967653997,8.38445,5.813909777991958,78.24
4300,0.93,0.2545796164309476,9.343199999999996,5.617427594212838,73.47
4400,0.87,0.2555567708659759,8.62615,5.9168058510095465,76.62
4500,0.94,0.24767445898963988,9.459799999999996,5.969473723464452,71.13
4600,0.94,0.22931388311853124,9.464500000000005,6.137998028313254,74.08
4700,0.94,0.21719333578306863,9.457350000000002,6.206562051631474,75.0
4800,0.9,0.2217100168539468,8.97745,6.216113011226023,76.02
4900,0.88,0.2174107504380978,8.751249999999997,6.292536064847633,79.91
5000,0.87,0.22316902384669876,8.631399999999998,6.4280455528709775,78.82
5100,0.83,0.21991382472078455,8.133049999999994,6.407035286159766,78.28
5200,0.87,0.22465867044735094,8.619749999999998,6.604717508508981,78.5
5300,0.89,0.22476471803873616,8.866700000000003,6.621206576624896,77.55
5400,0.92,0.2409528842445603,9.227149999999998,6.730240385859702,77.21
5500,0.86,0.25010815576770723,8.50955,6.755828506905893,78.61
5600,0.9,0.23334463309323714,8.984449999999999,6.898327594653418,76.46
5700,0.91,0.21730998261075862,9.100700000000002,6.908029171992237,70.71
5800,0.91,0.22615165865337375,9.10275,6.996740769883405,74.45
5900,0.92,0.2045998151845711,9.216399999999998,7.010240282480733,71.53
6000,0.89,0.20969425782253626,8.862499999999997,7.0656169130590705,76.78
6100,0.9,0.20965473982744373,8.981849999999994,7.027637566580033,72.28
6200,0.85,0.19305844016277957,8.386550000000003,7.141561071717064,76.86
6300,0.87,0.20014757925367918,8.619649999999998,7.281652909176568,77.9
6400,0.8,0.2175366927890406,7.779300000000001,7.265302861907852,83.84
6500,0.83,0.2121994338404277,8.14015,7.199509979126788,83.07
6600,0.82,0.20807490376722781,8.0229,7.289686631444616,80.06
6700,0.84,0.2325642171806745,8.258249999999999,7.302628798508031,77.25
6800,0.85,0.22860406022981844,8.380599999999998,7.215199367059012,79.63
6900,0.81,0.24495181245078052,7.9026499999999995,7.245541365301628,81.34
7000,0.79,0.2402535811463374,7.64975,7.231529403364991,84.47
7100,0.74,0.2634142621149856,7.051199999999998,7.3160904893560925,87.16
7200,0.77,0.26641976702977815,7.414049999999996,7.305064944246169,83.2
7300,0.8,0.2597679875583413,7.777950000000005,7.270895145660831,78.51
7400,0.86,0.2636328714733211,8.503049999999998,7.247219851399217,85.44
7500,0.77,0.25265179117739106,7.416899999999999,7.224424955759505,84.79
7600,0.82,0.2461417918850718,8.017,7.2234823027886454,82.32
7700,0.83,0.2472673222359658,8.126,7.190476962364945,76.97
7800,0.78,0.23504674672176454,7.5343500000000025,7.196066512101631,83.89
7900,0.77,0.24236197728120906,7.418850000000003,7.118539749027983,86.44
8000,0.68,0.2474677711089358,6.327700000000002,7.046268362711404,87.84
8100,0.61,0.28293111949333677,5.48255,6.947216585142934,92.98
8200,0.66,0.3105325291474521,6.080350000000001,7.120968790957175,87.31
8300,0.8,0.32197060189252136,7.770500000000004,7.180211879435017,84.27
8400,0.76,0.31057376769600276,7.303749999999999,7.181571596973251,88.84
8500,0.71,0.3178558298347238,6.699299999999999,7.1166348161101185,86.58
8600,0.68,0.31234918718176075,6.325550000000001,7.092707688454421,88.73
8700,0.65,0.33675256026283135,5.96805,7.05659057766662,89.75
8800,0.73,0.3111720507765343,6.917950000000001,7.078448055859236,86.76
8900,0.73,0.31480779172622775,6.922900000000003,7.06975129401012,90.23
9000,0.75,0.31467080259564156,7.166700000000003,7.010746397709251,84.93
9100,0.79,0.30115167769159157,7.660599999999999,7.101442129192404,84.9
9200,0.84,0.29926197255044523,8.252250000000005,7.050635507066342,81.07
9300,0.74,0.2987259766327868,7.046849999999997,7.075786301026044,86.04
9400,0.71,0.28798158588781414,6.698,7.089531515790079,91.83
9500,0.84,0.27795662717339487,8.270299999999997,7.121781247364474,81.19
9600,0.8,0.280097012199181,7.7866,7.224249980740004,85.35
9700,0.79,0.2850877432262894,7.654150000000002,7.101279359470314,81.07
9800,0.76,0.28870735752981114,7.2811,7.0213768392155,87.09
9900,0.75,0.2795968913548215,7.1691500000000055,7.096046335337873,87.58
10000,0.63,0.2912219400658214,5.727850000000001,7.055348119099887,92.09
